epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.916,1.18011,3.36645,1.2058,0.41576,0.39262,0.2709,0.18825,1.02092,2.31958,1.0693,0.000102728,0.000102728,0.000102728
2,999.513,1.10361,1.6295,1.15522,0.62103,0.4352,0.47911,0.34004,1.08112,1.57795,1.11422,0.000193395,0.000193395,0.000193395
3,1498.37,1.08629,1.4238,1.10873,0.55587,0.42449,0.42262,0.29301,1.09197,1.7375,1.11025,0.000270291,0.000270291,0.000270291
4,1992.85,1.04534,1.20692,1.0973,0.6428,0.43438,0.48471,0.32809,1.09566,1.42452,1.11158,0.000251026,0.000251026,0.000251026
5,2486.08,1.01781,1.16145,1.08292,0.63128,0.4453,0.50077,0.35164,1.07834,1.37137,1.09713,0.000230368,0.000230368,0.000230368
6,2991.83,0.95904,1.16826,1.04564,0.6018,0.44887,0.47856,0.33447,1.0592,1.49065,1.08611,0.00020971,0.00020971,0.00020971
7,3498.35,0.92985,1.0765,1.02435,0.6791,0.44828,0.50668,0.35467,1.08678,1.30841,1.11327,0.000189052,0.000189052,0.000189052
8,4006.27,0.90902,0.987,1.00935,0.69409,0.4465,0.51575,0.36469,1.0488,1.25949,1.09097,0.000168394,0.000168394,0.000168394
9,4504.94,0.87231,0.90806,0.98123,0.65157,0.45363,0.51015,0.36276,1.03579,1.3388,1.07311,0.000147736,0.000147736,0.000147736
10,5000.24,0.8557,0.86648,0.97738,0.68866,0.45719,0.52486,0.37421,1.01985,1.25759,1.07284,0.000127078,0.000127078,0.000127078
11,5496.2,0.83413,0.81402,0.9751,0.65042,0.47345,0.51629,0.3694,1.02948,1.28019,1.07821,0.00010642,0.00010642,0.00010642
12,6004.69,0.82497,0.76469,0.96284,0.67869,0.46314,0.51243,0.36237,1.0285,1.26645,1.0853,8.5762e-05,8.5762e-05,8.5762e-05
13,6510.56,0.79378,0.74681,0.95417,0.63381,0.49287,0.52551,0.37743,1.00633,1.24798,1.06308,6.5104e-05,6.5104e-05,6.5104e-05
14,7016.22,0.7927,0.69415,0.94996,0.65898,0.49703,0.53882,0.39236,0.98682,1.18477,1.05577,4.4446e-05,4.4446e-05,4.4446e-05
15,7520.86,0.76475,0.661,0.93066,0.66701,0.48989,0.53827,0.39181,0.983,1.20139,1.05809,2.3788e-05,2.3788e-05,2.3788e-05
